
Address | Opcode | ScalarInstances | VectorInstances | #ofSrcRegs | RegNum |
2016405751546773504|MOV|0|118528|0|
2016405751546773528|IADD|118528|0|1|1  
2016405751546773536|S2R|0|118528|0|
2016405751546773544|ISETP|118528|0|2|1  0  
2016405751546773552|BRA|118528|0|0|
2016405751546773568|IADD|118528|0|2|1  255  
2016405751546773584|MOV|118528|0|1|0  
2016405751546773592|MOV|118528|0|1|255  
2016405751546773600|MOV|118528|0|1|2  
2016405751546773608|MOV|118528|0|1|3  
2016405751546773616|MOV|0|118528|0|
2016405751546773624|MOV|118528|0|1|255  
2016405751546773632|LOP|118528|0|2|2  4  
2016405751546773648|LOP|118528|0|2|3  5  
2016405751546773656|MOV|0|118528|0|
2016405751546773664|LDC|118528|0|1|0  
2016405751546773672|MOV|0|118528|0|
2016405751546773680|LDC|118528|0|1|4  
2016405751546773688|MOV|0|118528|0|
2016405751546773696|LDC|118528|0|1|4  
2016405751546773712|MOV|0|118528|0|
2016405751546773720|LDC|118528|0|1|10  
2016405751546773728|MOV|0|118528|0|
2016405751546773736|LDC|118528|0|1|10  
2016405751546773744|MOV|0|118528|0|
2016405751546773752|LDC|118528|0|1|11  
2016405751546773760|MOV|0|118528|0|
2016405751546773776|LDC|118528|0|1|11  
2016405751546773784|MOV|0|118528|0|
2016405751546773792|LDC|118528|0|1|12  
2016405751546773800|IADD|118528|0|2|8  255  
2016405751546773808|IADD|118528|0|2|9  255  
2016405751546773816|MOV|118528|0|1|8  
2016405751546773824|MOV|118528|0|1|9  
2016405751546773840|ST|118528|0|3|8  9  14  
2016405751546773848|S2R|0|118528|0|
2016405751546773856|MOV|118528|0|1|8  
2016405751546773864|MOV|118528|0|1|8  
2016405751546773872|S2R|0|118528|0|
2016405751546773880|MOV|0|118528|1|9  
2016405751546773888|MOV|0|118528|1|9  
2016405751546773904|IMUL|118528|0|1|0  
2016405751546773912|IMUL|118528|0|1|9  
2016405751546773920|MOV|0|118528|0|
2016405751546773928|IADD|118528|0|2|9  14  
2016405751546773936|IMUL|118528|0|2|9  8  
2016405751546773944|IADD|118528|0|2|8  13  
2016405751546773952|IADD|118528|0|1|8  
2016405751546773968|IADD|118528|0|1|9  
2016405751546773976|IADD|0|118528|2|8  12  
2016405751546773984|ISETP|118528|0|2|8  255  
2016405751546773992|PSETP|0|118528|0|
2016405751546774000|SSY|118528|0|0|
2016405751546774008|BRA|118272|0|0|
2016405751546774016|BRA|256|0|0|
2016405751546774032|I2I|256|0|1|8  
2016405751546774040|BRA|256|0|0|
