1 8 6934533 1.42431149652705e+19 0 579516 14
1 8 5269352 1.42431149652705e+19 3 439359 16
0 8 45622296 545222295518445840 1 914008 9
0 9 25928277 545222295518445656 0 834312 19
1 6 8208291 1.42431149652705e+19 6 771160 0
0 1 1450761 545222295518445664 4 168660 26
1 0 6984784 1.42431149652705e+19 0 692873 29
0 0 1471581 545222295518445568 5 188565 4
0 2 6021987 545222295518445584 6 759273 29
1 7 9811613 1.42431149652705e+19 0 794468 8
1 9 3195431 1.42431149652705e+19 6 319245 23
1 2 6399572 1.42431149652705e+19 6 647515 13
0 8 48595532 545222295518445928 5 971949 0
0 8 14240366 545222295518445648 0 292896 13
1 4 9616518 1.42431149652705e+19 5 966763 27
0 7 20656156 545222295518445648 0 870763 24
0 9 9522179 545222295518445728 1 308409 3
1 7 6671480 1.42431149652705e+19 0 540677 26
1 6 537453 1.42431149652705e+19 3 52614 11
1 5 8242189 1.42431149652705e+19 2 811974 3
0 8 27861552 545222295518445888 4 555763 17
0 7 11759811 545222295518445584 6 497887 2
0 9 23888160 545222295518445856 4 762978 6
0 7 4780297 545222295518445656 0 207253 6
0 3 1060650 545222295518445592 6 137529 25
1 9 9800148 1.42431149652705e+19 4 956836 23
1 9 108474 1.42431149652705e+19 6 18533 19
1 0 455851 1.42431149652705e+19 5 50580 11
1 7 6399563 1.42431149652705e+19 5 518409 11
0 10 1995215 545222295518445648 0 222346 25
1 2 3501498 1.42431149652705e+19 5 357636 15
0 9 10781305 545222295518446040 0 333855 16
0 8 30370849 545222295518445856 4 601226 1
1 2 759887 1.42431149652705e+19 2 70531 27
0 8 40855443 545222295518446032 0 797427 14
1 3 6895901 1.42431149652705e+19 5 692017 26
1 0 8073495 1.42431149652705e+19 5 805631 15
1 5 9707169 1.42431149652705e+19 5 962966 14
1 6 4076620 1.42431149652705e+19 5 394047 3
0 6 6082260 545222295518445632 3 542543 29
0 6 3295512 545222295518446040 0 283834 13
0 8 7019476 545222295518445888 4 149365 24
0 8 26663332 545222295518445880 0 528750 26
0 7 15501376 545222295518445632 3 653781 7
0 2 1766145 545222295518445600 2 216125 30
0 5 2307605 545222295518445600 2 274016 5
1 9 5555976 1.42431149652705e+19 0 548561 12
1 10 7245604 1.42431149652705e+19 6 731204 0
0 9 25752332 545222295518445856 4 822787 14
0 5 1501229 545222295518445568 5 181932 24
0 7 16563638 545222295518445864 3 696495 10
1 4 753695 1.42431149652705e+19 0 67645 28
0 9 13130732 545222295518445872 0 420298 10
1 10 9922607 1.42431149652705e+19 0 988371 13
0 2 330278 545222295518445600 2 45909 0
1 11 4794012 1.42431149652705e+19 4 461181 22
1 8 3161494 1.42431149652705e+19 4 248929 3
1 6 982509 1.42431149652705e+19 5 92935 24
1 1 3703757 1.42431149652705e+19 4 362291 0
0 8 47355241 545222295518446048 0 945735 10
0 6 297828 545222295518446064 0 3662 23
1 0 2688062 1.42431149652705e+19 0 253168 16
1 10 4054591 1.42431149652705e+19 6 411105 27
0 6 2342402 545222295518445968 0 201913 14
0 7 731238 545222295518445648 0 31080 13
0 9 26117365 545222295518445664 4 837194 30
1 2 830254 1.42431149652705e+19 0 66579 6
0 8 44820621 545222295518446008 4 891417 20
1 8 9076691 1.42431149652705e+19 4 757720 9
1 2 8527286 1.42431149652705e+19 4 839104 3
1 10 4937024 1.42431149652705e+19 4 483903 9
1 8 2916425 1.42431149652705e+19 0 235322 0
0 10 7558854 545222295518445656 0 856295 25
1 4 6302176 1.42431149652705e+19 6 634852 4
0 9 753635 545222295518446064 0 26004 6
0 9 7268680 545222295518446032 0 228312 5
1 9 3535995 1.42431149652705e+19 3 345214 8
0 1 4802720 545222295518445600 2 601963 0
1 5 3642171 1.42431149652705e+19 3 360318 12
1 1 6687403 1.42431149652705e+19 5 675216 4
0 1 6588158 545222295518445568 5 833573 18
1 10 4307229 1.42431149652705e+19 5 436659 11
